"runID","numCenters","SSE","lambda"
"11",1,76.5740188346195,"150"
"11",2,59.9378624834284,"150"
"11",3,46.4109377126927,"150"
"11",4,34.8369449085449,"150"
"11",5,27.1217888729396,"150"
"11",6,20.4619634911511,"150"
"11",7,19.2806223181264,"150"
"11",8,18.2515187930606,"150"
"11",9,17.4320542499205,"150"
"11",10,16.8461373953304,"150"
"12",1,67.0656057260332,"30"
"12",2,51.1210387490717,"30"
"12",3,41.813004667504,"30"
"12",4,34.3911652667038,"30"
"12",5,27.6550375375921,"30"
"12",6,22.9293355690297,"30"
"12",7,21.8011837866296,"30"
"12",8,20.7908769213829,"30"
"12",9,19.9261742190696,"30"
"12",10,18.9646705946475,"30"
"13",1,63.945478632561,"0"
"13",2,53.7009688460845,"0"
"13",3,45.2381903106333,"0"
"13",4,38.1118663080069,"0"
"13",5,34.0471805562439,"0"
"13",6,31.1399520612469,"0"
"13",7,29.4382439242181,"0"
"13",8,27.9202556836566,"0"
"13",9,26.4775862072759,"0"
"13",10,25.0623700296437,"0"
"21",1,74.3991037435985,"150"
"21",2,58.0219136246299,"150"
"21",3,45.6356614247371,"150"
"21",4,36.3387593060489,"150"
"21",5,28.0568184255082,"150"
"21",6,22.1885245528024,"150"
"21",7,20.8984485691795,"150"
"21",8,19.9081819813759,"150"
"21",9,19.1913638731968,"150"
"21",10,18.4459342349359,"150"
"22",1,62.7197704526562,"30"
"22",2,51.6856094863605,"30"
"22",3,42.2919213425455,"30"
"22",4,35.7757746256419,"30"
"22",5,30.1288779671157,"30"
"22",6,26.3429705458326,"30"
"22",7,24.9791084218189,"30"
"22",8,23.7039319717341,"30"
"22",9,22.4806516167448,"30"
"22",10,21.4156061885448,"30"
"23",1,63.4439144672401,"0"
"23",2,54.7014878327104,"0"
"23",3,48.3535950537138,"0"
"23",4,42.0630135591724,"0"
"23",5,37.2361159592208,"0"
"23",6,34.4519459061803,"0"
"23",7,32.3229114023751,"0"
"23",8,30.5309443167992,"0"
"23",9,28.829487112262,"0"
"23",10,27.418226764841,"0"
"31",1,70.9962013284462,"150"
"31",2,56.7470933800612,"150"
"31",3,45.1149100410027,"150"
"31",4,36.0915054421286,"150"
"31",5,27.6117779041743,"150"
"31",6,20.5815507577989,"150"
"31",7,19.5565606264908,"150"
"31",8,18.9444517002615,"150"
"31",9,18.3353898126796,"150"
"31",10,17.7346711948973,"150"
"32",1,59.6275066715511,"30"
"32",2,49.0106453833464,"30"
"32",3,41.5974336329501,"30"
"32",4,34.9145280417954,"30"
"32",5,29.4908672938996,"30"
"32",6,25.7514513352007,"30"
"32",7,24.1101905308671,"30"
"32",8,23.0518154622631,"30"
"32",9,22.1387844902704,"30"
"32",10,21.1685237838031,"30"
"33",1,59.9751466723616,"0"
"33",2,50.3546080973587,"0"
"33",3,43.3514056945206,"0"
"33",4,39.4489897204902,"0"
"33",5,36.314725240591,"0"
"33",6,33.6489153244631,"0"
"33",7,31.4793418037781,"0"
"33",8,29.776417200974,"0"
"33",9,28.1278068920574,"0"
"33",10,26.7396939333251,"0"
"41",1,68.6033511798682,"150"
"41",2,54.847213583931,"150"
"41",3,43.4128144551877,"150"
"41",4,34.069047353352,"150"
"41",5,27.8838208335935,"150"
"41",6,22.4062441889135,"150"
"41",7,21.1676373283185,"150"
"41",8,20.4002409675193,"150"
"41",9,19.6772272625968,"150"
