"runID","numCenters","SSE","M"
"11",1,71.9464208288957,"40"
"11",2,55.8116148973645,"40"
"11",3,43.7471688713558,"40"
"11",4,35.1898706263284,"40"
"11",5,27.6720447705622,"40"
"11",6,22.1849073975802,"40"
"11",7,20.8902513736048,"40"
"11",8,19.6332036331391,"40"
"11",9,18.7478668387617,"40"
"11",10,17.9502953898582,"40"
"12",1,229.568605737798,"100"
"12",2,168.002254239338,"100"
"12",3,127.539719678854,"100"
"12",4,105.044007175539,"100"
"12",5,87.789948732552,"100"
"12",6,74.061951780669,"100"
"12",7,71.1907565159273,"100"
"12",8,68.775941286516,"100"
"12",9,66.815782074682,"100"
"12",10,65.1631176028382,"100"
"13",1,479.25011156545,"160"
"13",2,355.760613825945,"160"
"13",3,277.86074164846,"160"
"13",4,237.132313384389,"160"
"13",5,197.692860315031,"160"
"13",6,183.756169036634,"160"
"13",7,173.383607489326,"160"
"13",8,166.112558448365,"160"
"13",9,161.405038591328,"160"
"13",10,157.18182342505,"160"
"21",1,68.315419159603,"40"
"21",2,55.0605320914656,"40"
"21",3,45.2940260183581,"40"
"21",4,35.991840006764,"40"
"21",5,27.7780212818822,"40"
"21",6,22.8391240189635,"40"
"21",7,21.4024436246374,"40"
"21",8,20.169965884248,"40"
"21",9,19.5229000946078,"40"
"21",10,18.48755891352,"40"
"22",1,231.648048086235,"100"
"22",2,177.166451374918,"100"
"22",3,138.497939912013,"100"
"22",4,112.82642350519,"100"
"22",5,91.4081530221228,"100"
"22",6,74.879574759452,"100"
"22",7,71.1245506222009,"100"
"22",8,68.9523795860869,"100"
"22",9,67.1972245898786,"100"
"22",10,65.5726853106683,"100"
"23",1,484.545241912053,"160"
"23",2,362.440655522796,"160"
"23",3,296.084521957411,"160"
"23",4,247.766453837093,"160"
"23",5,204.965739232848,"160"
"23",6,166.903766808552,"160"
"23",7,156.039460864417,"160"
"23",8,150.542241914422,"160"
"23",9,145.948585908182,"160"
"23",10,141.401523496007,"160"
"31",1,73.97388958334,"40"
"31",2,57.9303277261552,"40"
"31",3,45.2040585381707,"40"
"31",4,36.6136297492005,"40"
"31",5,28.0823930995465,"40"
