"M","lambda","meanOrder","meanOver","lambdaOverM","fitCurve"
120,0,0.75,0.584133504036174,0,0
200,0,0.75,0.591382671183958,0,0
40,50,0.75,0.754240117324463,1.25,0.71349520313981
120,50,0.75,0.735663639422837,0.416666666666667,0.340759369799556
200,50,0.75,0.713697445784733,0.25,0.221199216928595
40,100,0.75,0.79072313326587,2.5,0.917915001376101
120,100,0.75,0.745041849025863,0.833333333333333,0.565401791492922
200,100,0.75,0.730216463799254,0.5,0.393469340287367
40,150,0.75,0.819400487477691,3.75,0.976482254143991
120,150,0.75,0.763225693856652,1.25,0.71349520313981
200,150,0.75,0.744074846041388,0.75,0.527633447258985
40,200,0.75,0.769275633952524,5,0.993262053000915
120,200,0.75,0.759947582782811,1.66666666666667,0.811124397162438
200,200,0.75,0.767050421136299,1,0.632120558828558
40,0,1,0.607052978443947,0,0
120,0,1,0.588186744476492,0,0
200,0,1,0.588657261907907,0,0
40,50,1,0.801058103648888,1.25,0.71349520313981
120,50,1,0.723548374976199,0.416666666666667,0.340759369799556
200,50,1,0.711176566559183,0.25,0.221199216928595
40,100,1,0.87302766644073,2.5,0.917915001376101
120,100,1,0.779199179053859,0.833333333333333,0.565401791492922
200,100,1,0.765898535305024,0.5,0.393469340287367
40,150,1,0.886240127131571,3.75,0.976482254143991
120,150,1,0.772611021316694,1.25,0.71349520313981
200,150,1,0.731372687833579,0.75,0.527633447258985
40,200,1,0.847750574879211,5,0.993262053000915
120,200,1,0.821188988571043,1.66666666666667,0.811124397162438
200,200,1,0.813316952325803,1,0.632120558828558
40,0,2,0.59069017532186,0,0
120,0,2,0.609475011013166,0,0
200,0,2,0.555184051515207,0,0
40,50,2,0.944085246722304,1.25,0.71349520313981
120,50,2,0.72989214937389,0.416666666666667,0.340759369799556
200,50,2,0.669319640568724,0.25,0.221199216928595
40,100,2,0.892555044772026,2.5,0.917915001376101
120,100,2,0.819019168689033,0.833333333333333,0.565401791492922
200,100,2,0.786819340206234,0.5,0.393469340287367
40,150,2,0.924757732905526,3.75,0.976482254143991
120,150,2,0.870617075455612,1.25,0.71349520313981
200,150,2,0.80336065835361,0.75,0.527633447258985
40,200,2,0.920382492769597,5,0.993262053000915
120,200,2,0.902912428492919,1.66666666666667,0.811124397162438
200,200,2,0.84301049754047,1,0.632120558828558
40,0,3,0.633548551712282,0,0
120,0,3,0.602006311913456,0,0
200,0,3,0.573174656906306,0,0
40,50,3,0.891899892197918,1.25,0.71349520313981
120,50,3,0.727530623477882,0.416666666666667,0.340759369799556
200,50,3,0.732879049889907,0.25,0.221199216928595
40,100,3,0.98727751475255,2.5,0.917915001376101
120,100,3,0.809603756554771,0.833333333333333,0.565401791492922
200,100,3,0.765950707590516,0.5,0.393469340287367
40,150,3,0.983812946122215,3.75,0.976482254143991
120,150,3,0.935566305855186,1.25,0.71349520313981
200,150,3,0.82298935878634,0.75,0.527633447258985
40,200,3,0.967259726795512,5,0.993262053000915
120,200,3,0.941821980960508,1.66666666666667,0.811124397162438
200,200,3,0.8631174478595,1,0.632120558828558
40,0,15,0.555334637603705,0,0
120,0,15,0.606522486761254,0,0
200,0,15,0.611332146313682,0,0
40,50,15,0.939338861922271,1.25,0.71349520313981
120,50,15,0.730447470966203,0.416666666666667,0.340759369799556
200,50,15,0.7147261211369,0.25,0.221199216928595
40,100,15,0.998199730723876,2.5,0.917915001376101
120,100,15,0.857671232221961,0.833333333333333,0.565401791492922
200,100,15,0.752106224198667,0.5,0.393469340287367
40,150,15,0.99819409601765,3.75,0.976482254143991
120,150,15,0.913023137435546,1.25,0.71349520313981
200,150,15,0.849634182170801,0.75,0.527633447258985
40,200,15,1,5,0.993262053000915
120,200,15,0.948233363932845,1.66666666666667,0.811124397162438
200,200,15,0.910960523419678,1,0.632120558828558
40,0,27,0.543558997076441,0,0
120,0,27,0.593819152524621,0,0
200,0,27,0.582521849632435,0,0
40,50,27,0.973724310633315,1.25,0.71349520313981
120,50,27,0.788720246208954,0.416666666666667,0.340759369799556
